key,dirigente,rol,plataforma,comentario,post_contexto,llm_polaridad
3880233318554087785_45120302231__c__17857032327638026,Alejandro Piña Medina,oposicion,INSTAGRAM,Que el orate de Salomón Chertorivsky nos de una solución como la de quitar el Covid en 2 semanas.,"Dicen que la CDMX está lista para recibir el gran evento de fútbol, pero el Metro dice lo contrario. El gobierno de la CDMX tuvo 8 años para prepararlo. Hoy, la realidad es otra: una ciudad que presum",-1
7635060762927383313,Laura Ballesteros Mancilla,oposicion,TIKTOK,Viva Laura!,"¿Sesiones presenciales y pleno vacío?  En la Cámara de Diputados se repite siempre la misma historia los días de sesión : ausencias y curules vacías. Mientras la gente cumple, aquí siguen quedando a d",0
18058505594418793,Saymi Adriana Pineda Velasco,oficialismo,INSTAGRAM,Un gobierno de territorio 👏🏽,"La Sierra de Juárez fortalece su vocación turística 🌿  En el marco de la estrategia Trabajo que Transforma tu Municipio, impulsada por el Gobernador del Estado, Ing. Salomón Jara Cruz, recorrimos San ",1
UzpfSTEwMDA0NDQ1NjU1ODU2NToxNTkyNTIyOTA1NTcyOTEzOjE1OTI1MjI5MDU1NzI5MTM=:c:c4829baa64668e19,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,Muy bien maestra saymi,"Reconocemos la gran labor de las madres de familia en San Pedro Pochutla  Fue un gusto compartir esta mañana con las madres de familia de la Escuela Primaria Urbana Estatal José María Morelos, en San ",1
7626846304128779024,Felipe de Jesús Martínez Gómez,oficialismo,TIKTOK,Me preguntó;por qué la Presidenta Municipal siempre que está en sesión de cabildo está con su celular contestando no se que cosa y no está atenta al cabildo ?,todos tenemos derecho al agua #nicolasromeroedodemex #felipeycontenis #agua #edomex🇲🇽 ,-1
3886114263324778241_7696494864__c__17980118036840767,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,JAJAJAJA me río pero de los nervios y porque qp Mexico surreal 😢,"¿En qué momento moverte en tu ciudad se volvió una experiencia de miedo?  Lo que vivimos en el Metro no es normal ni aceptable. Trasbordes caóticos, espacios inseguros y abandono.  La movilidad es un ",-1
UzpfSTEwMDA0NDQ1NjU1ODU2NToxNTk1MjI3NzE1MzAyNDMyOjE1OTUyMjc3MTUzMDI0MzI=:c:e1f343e3feed4e01,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,Excelente trabajo que realizan por impulsar el desarrollo de las y los Oaxaqueños,"#Oaxaca continúa creciendo con unidad y visión de futuro.  En un encuentro encabezado por el Gobernador del Estado, Ing. Salomón Jara Cruz, dialogamos con el sector empresarial para fortalecer las con",1
2047780601030135996,Laura Ballesteros Mancilla,oposicion,TWITTER,@LBallesterosM @MovCiudadanoMX https://t.co/luIkyHfsk5,"Diputadas y diputados, pónganse a trabajar. Mientras el PRIAN y Morena pelean sobre quién lo hizo peor en feminicidios con sus gobiernos, la gente exige justicia. El feminicidio de Edith Guadalupe nos",0
17994221891957124,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Vino a hacer el  ridiculo,"Mientras Morena intenta tapar su crisis de seguridad y narcotráfico con cortinas de humo, el PRIAN les hace el favor trayendo a personajes como Ayuso.  La visión colonialista, antiderechos y profundam",-1
UzpfSTEwMDA0NDQ1NjU1ODU2NToxNTY5Njg2MTQ3ODU2NTg5OjE1Njk2ODYxNDc4NTY1ODk=:c:74f451a820af9a21,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,La casa del buen mezcal!,Mengolí de Morelos celebra la grandeza de la tradición mezcalera ¡Nuestra tradición mezcalera es única en el mundo! Y hoy se refleja en la celebración del Día de la Maestra y el Maestro Mezcalero en l,1
3892639779669796457_7696494864__c__17873466081485176,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Este pinche gobierno de mrda,"🚨Amparos frente a la cancelación de la SEP del ciclo escolar en junio.  No pueden con el Mundial.  Si el Gobierno Federal decide seguir adelante con este atropello a los derechos de las y los niños, y",-1
7631641425537368853,Laura Ballesteros Mancilla,oposicion,TIKTOK,no será circo y teatro,35 mil familias esperando justicia y el Congreso llega tarde. Hoy iniciamos sesión con más de 150 ausencias con una hora de retraso justo cuando debe votarse la reforma constitucional para hacer reali,-1
17883574326467327,Saymi Adriana Pineda Velasco,oficialismo,INSTAGRAM,Gobierno de grandes resultados…,"La Sierra de Juárez fortalece su vocación turística 🌿  En el marco de la estrategia Trabajo que Transforma tu Municipio, impulsada por el Gobernador del Estado, Ing. Salomón Jara Cruz, recorrimos San ",1
UzpfSTEwMDA2MzQ4MTEzMDQzMDoxNjMzNTE5NDAyMTA3NDE1OjE2MzM1MTk0MDIxMDc0MTU=:c:c13870ca505807d9,Laura Ballesteros Mancilla,oposicion,FACEBOOK,"qué gusto leerle licenciado,muchas gracias.","México sí cree en México.  Creemos en su gente, en las nuevas generaciones y en un país que puede volver a soñar en grande.",1
1582368396588364:c:ef82095d786ffd97,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,La promoción permanente de nuestro estado de Oaxaca es fundamental Mtra. Saymi Pineda Velasco.,"Iniciamos participación en el máximo encuentro turístico del país  Iniciamos nuestra participación en la edición 50 del Tianguis Turístico de México desde Acapulco, Guerrero, un espacio clave para for",1
UzpfSTEwMDA4MzA3MTI4NTMyMTo5NjEyMzEwNzk5ODkyNTk6OTYxMjMxMDc5OTg5MjU5:c:c615fe46cb95f61b,Pepe Monroy,?,FACEBOOK,Felicidades señor ! Enhorabuena!!!,"El día de ayer acudí a la Plenaria de Partidos Políticos Locales, acompañado de dirigentes de más de 25 estados de la República, en un espacio de diálogo y construcción en favor de la democracia de nu",1
Y29tbWVudDoxNDEzNjA1MjQ3NDQ2OTQwXzE3NTUwODU0Njg4MDI4NDE=,Gabriela Jiménez Godoy,oficialismo,FACEBOOK,Saludos amiga Gaby un fuerte abrazo desde nacajuca Tabasco,"✨ Cuando la comunidad se une, los espacios renacen ✨  Hoy vivimos algo muy poderoso en el Parque Teatilco, en Azcapotzalco: un tequio que no solo fue trabajo colectivo, fue amor por nuestra comunidad ",0
18012273584700023,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Vieja pendeja,"Mientras Morena intenta tapar su crisis de seguridad y narcotráfico con cortinas de humo, el PRIAN les hace el favor trayendo a personajes como Ayuso.  La visión colonialista, antiderechos y profundam",-1
7631698304809894663,Laura Ballesteros Mancilla,oposicion,TIKTOK,"seguro no es de morena ,tiene toda la razon",35 mil familias esperando justicia y el Congreso llega tarde. Hoy iniciamos sesión con más de 150 ausencias con una hora de retraso justo cuando debe votarse la reforma constitucional para hacer reali,1
964962982585844,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,La Sierra Sur tiene un gran potencial y da gusto ver esfuerzos para seguir impulsando su vocación turística y el bienestar de sus comunidades 👏🏽👏🏽,"Sierra Sur: diálogo y trabajo para impulsar su vocación turística  Muy contenta de compartir este día productivo en la Sierra Sur, en San Pedro Coatlán, junto a amigas y amigos con quienes dialogamos ",1
3890015220608096967_7696494864__c__18096081710171641,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Ella cuida al narco y ojala y hagan algo contra esta basura de gobierno de la mierda de judía que ni mexicana es,"La popularidad no puede ser escudo para la impunidad.  Decir que alguien no debe rendir cuentas “porque es querido” o es familiar de alguna víctima, es exactamente el problema. En democracia, la ley e",-1
